I avoid eating when am hungry,I cut my food into small pieces,"I particularly avoid food with high carbonhydrate(bread,rice,potatoes etc)",I take longer time than others to eat my meals,I avoid food and drink with sugar content,I like my stomach empty ,I fast to avoid eating
2,5,0,4,2,5,6
2,5,0,4,2,5,6
2,5,0,4,2,5,6
2,5,0,4,2,5,6
5,5,0,4,2,5,6
5,5,0,4,2,5,6
5,5,0,4,2,5,6
5,5,0,4,2,5,6
5,5,0,4,2,5,6
5,5,0,4,2,5,6
5,5,0,4,2,5,6
5,5,0,4,2,5,6
5,5,0,4,2,5,6
5,5,0,4,2,5,6
5,5,0,4,2,5,6
5,5,0,4,2,5,6
5,5,0,4,2,5,6
5,5,0,4,2,5,6
5,4,0,4,2,5,6
5,4,0,4,2,5,6
5,4,0,4,2,5,6
5,4,0,4,2,5,6
5,4,0,4,2,5,6
5,4,0,4,2,5,6
5,4,0,4,2,5,6
5,4,0,4,2,5,6
5,4,0,4,2,5,6
5,4,0,4,2,5,6
5,4,0,4,2,5,6
5,4,0,4,2,5,6
5,4,0,4,2,5,6
5,4,0,4,2,5,6
5,4,0,4,2,5,6
5,4,0,4,2,5,6
5,4,0,4,2,5,6
5,4,5,4,5,5,6
5,4,5,4,5,5,6
5,4,5,4,5,5,6
5,4,5,4,5,5,6
5,4,5,4,5,5,6
5,4,5,4,5,5,6
3,4,5,4,5,5,6
3,4,5,4,5,5,6
3,4,5,4,5,5,6
3,4,5,4,5,5,6
3,4,5,4,5,5,6
3,4,5,4,5,5,6
3,4,5,4,5,5,6
3,4,5,4,5,5,6
3,4,5,4,5,5,6
3,4,5,4,5,5,6
3,4,5,4,5,5,6
3,4,5,4,5,5,6
3,4,5,4,5,5,5
3,4,5,4,5,5,5
3,4,5,4,5,5,5
3,4,5,4,5,5,5
3,4,5,4,5,5,5
3,4,5,4,5,5,5
3,4,5,4,5,2,5
3,4,5,4,5,2,5
3,4,5,4,5,2,5
3,4,5,4,5,2,5
3,4,2,4,4,2,5
3,4,2,4,4,2,5
3,4,2,4,4,2,5
3,4,2,4,4,2,5
3,4,2,3,4,2,5
3,4,2,3,4,2,5
3,4,2,3,4,2,5
3,4,2,3,4,2,5
3,4,4,3,4,2,5
3,4,4,3,4,2,5
3,4,4,3,4,2,5
3,4,4,3,4,2,5
3,4,4,3,4,2,5
3,4,4,3,4,2,5
3,4,4,3,4,2,5
3,4,4,3,4,2,5
3,4,4,3,4,2,5
3,4,4,3,4,2,5
3,4,4,3,4,2,5
3,4,4,3,4,2,5
3,4,4,3,4,2,5
3,4,4,3,4,2,5
3,4,4,3,4,2,5
3,4,4,3,4,2,5
3,4,3,3,4,2,5
3,4,3,3,4,2,5
3,4,3,3,4,2,5
3,4,3,1,4,2,5
3,4,3,1,4,2,5
3,4,3,1,4,2,5
3,4,3,1,4,2,5
3,4,3,1,4,2,5
3,4,3,1,4,2,5
3,4,3,1,4,2,5
3,4,3,1,4,2,5
3,4,3,1,4,2,5
3,4,3,1,4,2,5
3,4,3,1,4,2,5
3,4,3,1,4,2,5
3,4,3,1,4,2,5
3,4,3,1,4,2,5
3,4,3,1,4,2,5
3,4,3,1,4,2,5
3,4,3,1,4,2,5
3,4,3,1,4,2,2
3,4,3,1,4,2,2
3,4,3,1,4,2,2
3,4,3,1,4,2,2
3,4,3,1,4,2,2
3,4,3,1,4,2,2
3,4,3,1,4,2,2
3,4,3,1,4,2,2
3,4,3,1,4,2,2
3,4,3,1,4,2,2
3,4,3,1,4,2,2
3,2,3,1,4,2,2
3,2,3,1,4,2,2
3,2,3,1,4,2,2
3,2,3,1,4,2,2
3,2,3,1,4,2,2
3,2,3,1,1,2,2
3,2,3,1,1,2,2
3,2,3,1,1,2,2
3,2,3,1,1,2,2
3,2,3,1,1,2,2
3,2,3,1,1,2,2
3,2,1,1,1,2,2
3,2,1,1,1,2,2
3,2,1,1,1,2,2
3,2,1,1,1,2,2
3,2,1,1,1,2,2
3,2,1,1,1,2,2
3,2,1,1,1,2,2
3,2,1,1,1,2,2
3,2,1,1,1,2,2
3,2,1,1,1,2,2
3,2,1,1,1,2,2
4,2,1,1,1,2,2
1,2,1,1,1,2,2
1,2,1,1,1,2,2
1,2,1,1,1,2,2
1,2,1,1,1,2,2
1,2,1,1,1,2,2
1,2,1,1,1,2,2
1,2,1,1,1,2,2
1,2,1,1,1,2,2
1,2,1,1,1,2,2
1,2,1,1,1,2,2
1,2,1,1,1,2,2
1,2,1,1,1,2,2
1,2,1,1,1,2,2
1,2,1,1,1,2,2
